id          voter_id    politician_id  created_at                 updated_at               
5429        1485        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
5430        4533        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
5516        4324        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
5697        1328        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
5701        3418        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6018        3801        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6072        2718        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6138        4153        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6142        3995        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6214        2796        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6239        3744        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6299        2232        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6325        4514        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6349        1147        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6370        409         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6615        2481        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6623        2573        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6686        3107        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6699        2189        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6705        295         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6832        4514        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6844        1301        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
6925        1590        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7003        780         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7047        190         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7079        4324        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7161        1590        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7260        4324        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7299        3097        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7382        4586        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7403        1781        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7743        439         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7786        2796        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7878        460         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7903        4476        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7917        3580        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
7996        2556        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8030        399         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8107        3418        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8167        3038        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8187        200         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8208        4586        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8347        4608        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8365        1564        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8407        4476        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8416        1564        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8421        4827        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8603        453         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8617        4898        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8646        1301        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8727        4827        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8763        134         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8767        1249        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8805        3995        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8854        2249        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
8896        2556        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9005        2796        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9042        4608        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9074        2881        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9109        1564        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9148        190         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9183        1301        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9369        4819        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9511        3890        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9552        4827        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9557        1249        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9584        1306        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9587        134         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9621        3151        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9627        1328        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9661        4586        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9713        1306        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9864        2985        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9874        2189        346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
9891        399         346            2012-10-10 16:25:32 -0700  2012-10-10 16:25:32 -0700
